asset_id,canonical_site_id,canonical_slug,name_ar,slot,local_filename,sha256,mime_type,file_size_bytes,creator,copyright_holder,source_url,creation_or_capture_date,licence,permission_evidence_file,attribution_text_ar,allowed_use,territory,expiry_date,people_consent,private_property_consent,sensitive_location_review,derivative_edits,review_status,reviewer,review_date,rejection_or_hold_reason
,site-be1c2ce90997,mdyn-twlkrm-ltrykhy-be1c2c,مدينة طولكرم التاريخية,gallery,,,,,,,,,,,,,,,,,,,pending,,,
,site-be1c2ce90997,mdyn-twlkrm-ltrykhy-be1c2c,مدينة طولكرم التاريخية,map,,,,,,,,,,,,,,,,,,,pending,,,
,site-be1c2ce90997,mdyn-twlkrm-ltrykhy-be1c2c,مدينة طولكرم التاريخية,document_thumbnail,,,,,,,,,,,,,,,,,,,pending,,,
,site-95d241c30366,mqm-lshykh-shltwt-95d241,مقام الشيخ شلتوت,hero,,,,,,,,,,,,,,,,,,,pending,,,
,site-95d241c30366,mqm-lshykh-shltwt-95d241,مقام الشيخ شلتوت,gallery,,,,,,,,,,,,,,,,,,,pending,,,
,site-95d241c30366,mqm-lshykh-shltwt-95d241,مقام الشيخ شلتوت,map,,,,,,,,,,,,,,,,,,,pending,,,
,site-95d241c30366,mqm-lshykh-shltwt-95d241,مقام الشيخ شلتوت,document_thumbnail,,,,,,,,,,,,,,,,,,,pending,,,
,site-02cb039fe1eb,khrb-zwn-02cb03,خربة عزون,hero,,,,,,,,,,,,,,,,,,,pending,,,
,site-02cb039fe1eb,khrb-zwn-02cb03,خربة عزون,gallery,,,,,,,,,,,,,,,,,,,pending,,,
,site-02cb039fe1eb,khrb-zwn-02cb03,خربة عزون,map,,,,,,,,,,,,,,,,,,,pending,,,
,site-02cb039fe1eb,khrb-zwn-02cb03,خربة عزون,document_thumbnail,,,,,,,,,,,,,,,,,,,pending,,,
,site-3ab4c5b64173,khrb-qlqyly-lqdym-3ab4c5,خربة قلقيلية القديمة,hero,,,,,,,,,,,,,,,,,,,pending,,,
,site-3ab4c5b64173,khrb-qlqyly-lqdym-3ab4c5,خربة قلقيلية القديمة,gallery,,,,,,,,,,,,,,,,,,,pending,,,
,site-3ab4c5b64173,khrb-qlqyly-lqdym-3ab4c5,خربة قلقيلية القديمة,map,,,,,,,,,,,,,,,,,,,pending,,,
,site-3ab4c5b64173,khrb-qlqyly-lqdym-3ab4c5,خربة قلقيلية القديمة,document_thumbnail,,,,,,,,,,,,,,,,,,,pending,,,
,site-a33c0a4f64fa,mqm-lnby-ymyn-a33c0a,مقام النبي يامين,hero,,,,,,,,,,,,,,,,,,,pending,,,
,site-a33c0a4f64fa,mqm-lnby-ymyn-a33c0a,مقام النبي يامين,gallery,,,,,,,,,,,,,,,,,,,pending,,,
,site-a33c0a4f64fa,mqm-lnby-ymyn-a33c0a,مقام النبي يامين,map,,,,,,,,,,,,,,,,,,,pending,,,
,site-a33c0a4f64fa,mqm-lnby-ymyn-a33c0a,مقام النبي يامين,document_thumbnail,,,,,,,,,,,,,,,,,,,pending,,,
,site-69f3ad775733,khrb-dyr-sty-69f3ad,بلدة دير استيا التاريخية,hero,,,,,,,,,,,,,,,,,,,pending,,,
,site-69f3ad775733,khrb-dyr-sty-69f3ad,بلدة دير استيا التاريخية,gallery,,,,,,,,,,,,,,,,,,,pending,,,
,site-69f3ad775733,khrb-dyr-sty-69f3ad,بلدة دير استيا التاريخية,map,,,,,,,,,,,,,,,,,,,pending,,,
,site-69f3ad775733,khrb-dyr-sty-69f3ad,بلدة دير استيا التاريخية,document_thumbnail,,,,,,,,,,,,,,,,,,,pending,,,
,site-ba91049d51a9,ywn-lm-l-thry-ba9104,عيون الماء الأثرية,hero,,,,,,,,,,,,,,,,,,,pending,,,
,site-ba91049d51a9,ywn-lm-l-thry-ba9104,عيون الماء الأثرية,gallery,,,,,,,,,,,,,,,,,,,pending,,,
,site-ba91049d51a9,ywn-lm-l-thry-ba9104,عيون الماء الأثرية,map,,,,,,,,,,,,,,,,,,,pending,,,
,site-ba91049d51a9,ywn-lm-l-thry-ba9104,عيون الماء الأثرية,document_thumbnail,,,,,,,,,,,,,,,,,,,pending,,,
,site-b2a7e03ecda1,ql-kfl-hrs-b2a7e0,قلعة كفل حارس,hero,,,,,,,,,,,,,,,,,,,pending,,,
,site-b2a7e03ecda1,ql-kfl-hrs-b2a7e0,قلعة كفل حارس,gallery,,,,,,,,,,,,,,,,,,,pending,,,
,site-b2a7e03ecda1,ql-kfl-hrs-b2a7e0,قلعة كفل حارس,map,,,,,,,,,,,,,,,,,,,pending,,,
,site-b2a7e03ecda1,ql-kfl-hrs-b2a7e0,قلعة كفل حارس,document_thumbnail,,,,,,,,,,,,,,,,,,,pending,,,
,site-c6731a990917,tl-lfr-lmdyn-lkn-ny-c6731a,تل الفارعة (المدينة الكنعانية),hero,,,,,,,,,,,,,,,,,,,pending,,,
,site-c6731a990917,tl-lfr-lmdyn-lkn-ny-c6731a,تل الفارعة (المدينة الكنعانية),gallery,,,,,,,,,,,,,,,,,,,pending,,,
,site-c6731a990917,tl-lfr-lmdyn-lkn-ny-c6731a,تل الفارعة (المدينة الكنعانية),map,,,,,,,,,,,,,,,,,,,pending,,,
,site-c6731a990917,tl-lfr-lmdyn-lkn-ny-c6731a,تل الفارعة (المدينة الكنعانية),document_thumbnail,,,,,,,,,,,,,,,,,,,pending,,,
,site-4ab7d2100cc2,khrb-twbs-lqdym-4ab7d2,خربة طوباس القديمة,hero,,,,,,,,,,,,,,,,,,,pending,,,
,site-4ab7d2100cc2,khrb-twbs-lqdym-4ab7d2,خربة طوباس القديمة,gallery,,,,,,,,,,,,,,,,,,,pending,,,
,site-4ab7d2100cc2,khrb-twbs-lqdym-4ab7d2,خربة طوباس القديمة,map,,,,,,,,,,,,,,,,,,,pending,,,
,site-4ab7d2100cc2,khrb-twbs-lqdym-4ab7d2,خربة طوباس القديمة,document_thumbnail,,,,,,,,,,,,,,,,,,,pending,,,
,site-bc56c2f93d66,yn-lfr-bc56c2,عين الفارعة,hero,,,,,,,,,,,,,,,,,,,pending,,,
,site-bc56c2f93d66,yn-lfr-bc56c2,عين الفارعة,gallery,,,,,,,,,,,,,,,,,,,pending,,,
,site-bc56c2f93d66,yn-lfr-bc56c2,عين الفارعة,map,,,,,,,,,,,,,,,,,,,pending,,,
,site-bc56c2f93d66,yn-lfr-bc56c2,عين الفارعة,document_thumbnail,,,,,,,,,,,,,,,,,,,pending,,,
,site-a86fc049d470,tl-lsltn-ryh-lqdym-a86fc0,تل السلطان (أريحا القديمة),hero,,,,,,,,,,,,,,,,,,,pending,,,
,site-a86fc049d470,tl-lsltn-ryh-lqdym-a86fc0,تل السلطان (أريحا القديمة),gallery,,,,,,,,,,,,,,,,,,,pending,,,
,site-a86fc049d470,tl-lsltn-ryh-lqdym-a86fc0,تل السلطان (أريحا القديمة),map,,,,,,,,,,,,,,,,,,,pending,,,
,site-a86fc049d470,tl-lsltn-ryh-lqdym-a86fc0,تل السلطان (أريحا القديمة),document_thumbnail,,,,,,,,,,,,,,,,,,,pending,,,
,site-cc4465115964,dyr-qrntl-cc4465,دير قرنطل,hero,,,,,,,,,,,,,,,,,,,pending,,,
,site-cc4465115964,dyr-qrntl-cc4465,دير قرنطل,gallery,,,,,,,,,,,,,,,,,,,pending,,,
,site-cc4465115964,dyr-qrntl-cc4465,دير قرنطل,map,,,,,,,,,,,,,,,,,,,pending,,,
,site-cc4465115964,dyr-qrntl-cc4465,دير قرنطل,document_thumbnail,,,,,,,,,,,,,,,,,,,pending,,,
,site-b5f00132ee24,yn-lsltn-b5f001,عين السلطان,hero,,,,,,,,,,,,,,,,,,,pending,,,
,site-b5f00132ee24,yn-lsltn-b5f001,عين السلطان,gallery,,,,,,,,,,,,,,,,,,,pending,,,
,site-b5f00132ee24,yn-lsltn-b5f001,عين السلطان,map,,,,,,,,,,,,,,,,,,,pending,,,
,site-b5f00132ee24,yn-lsltn-b5f001,عين السلطان,document_thumbnail,,,,,,,,,,,,,,,,,,,pending,,,
,site-ce23c41d7641,qbr-lnby-mws-ce23c4,قبر النبي موسى,hero,,,,,,,,,,,,,,,,,,,pending,,,
,site-ce23c41d7641,qbr-lnby-mws-ce23c4,قبر النبي موسى,gallery,,,,,,,,,,,,,,,,,,,pending,,,
,site-ce23c41d7641,qbr-lnby-mws-ce23c4,قبر النبي موسى,map,,,,,,,,,,,,,,,,,,,pending,,,
,site-ce23c41d7641,qbr-lnby-mws-ce23c4,قبر النبي موسى,document_thumbnail,,,,,,,,,,,,,,,,,,,pending,,,
,site-0285c869e647,qsr-hshm-khrb-lmfjr-0285c8,قصر هشام (خربة المفجر),hero,,,,,,,,,,,,,,,,,,,pending,,,
,site-0285c869e647,qsr-hshm-khrb-lmfjr-0285c8,قصر هشام (خربة المفجر),gallery,,,,,,,,,,,,,,,,,,,pending,,,
,site-0285c869e647,qsr-hshm-khrb-lmfjr-0285c8,قصر هشام (خربة المفجر),map,,,,,,,,,,,,,,,,,,,pending,,,
,site-0285c869e647,qsr-hshm-khrb-lmfjr-0285c8,قصر هشام (خربة المفجر),document_thumbnail,,,,,,,,,,,,,,,,,,,pending,,,
,site-7551f628d089,qn-wdy-lqlt-7551f6,قناة وادي القلط,hero,,,,,,,,,,,,,,,,,,,pending,,,
,site-7551f628d089,qn-wdy-lqlt-7551f6,قناة وادي القلط,gallery,,,,,,,,,,,,,,,,,,,pending,,,
,site-7551f628d089,qn-wdy-lqlt-7551f6,قناة وادي القلط,map,,,,,,,,,,,,,,,,,,,pending,,,
,site-7551f628d089,qn-wdy-lqlt-7551f6,قناة وادي القلط,document_thumbnail,,,,,,,,,,,,,,,,,,,pending,,,
,site-c4d8c9fdd1f0,mqm-lnby-mws-c4d8c9,مقام النبي موسى,hero,,,,,,,,,,,,,,,,,,,pending,,,
,site-c4d8c9fdd1f0,mqm-lnby-mws-c4d8c9,مقام النبي موسى,gallery,,,,,,,,,,,,,,,,,,,pending,,,
,site-c4d8c9fdd1f0,mqm-lnby-mws-c4d8c9,مقام النبي موسى,map,,,,,,,,,,,,,,,,,,,pending,,,
,site-c4d8c9fdd1f0,mqm-lnby-mws-c4d8c9,مقام النبي موسى,document_thumbnail,,,,,,,,,,,,,,,,,,,pending,,,
,site-2e45744cdab4,lmsjd-l-mry-lkbyr-2e4574,المسجد العمري الكبير,hero,,,,,,,,,,,,,,,,,,,pending,,,
,site-2e45744cdab4,lmsjd-l-mry-lkbyr-2e4574,المسجد العمري الكبير,gallery,,,,,,,,,,,,,,,,,,,pending,,,
,site-2e45744cdab4,lmsjd-l-mry-lkbyr-2e4574,المسجد العمري الكبير,map,,,,,,,,,,,,,,,,,,,pending,,,
,site-2e45744cdab4,lmsjd-l-mry-lkbyr-2e4574,المسجد العمري الكبير,document_thumbnail,,,,,,,,,,,,,,,,,,,pending,,,
,site-21150eefdea6,tl-l-jwl-mdyn-gz-lqdym-21150e,تل العجول,hero,,,,,,,,,,,,,,,,,,,pending,,,
,site-21150eefdea6,tl-l-jwl-mdyn-gz-lqdym-21150e,تل العجول,gallery,,,,,,,,,,,,,,,,,,,pending,,,
,site-21150eefdea6,tl-l-jwl-mdyn-gz-lqdym-21150e,تل العجول,map,,,,,,,,,,,,,,,,,,,pending,,,
,site-21150eefdea6,tl-l-jwl-mdyn-gz-lqdym-21150e,تل العجول,document_thumbnail,,,,,,,,,,,,,,,,,,,pending,,,
,site-3ded44be126d,hmm-lsmr-3ded44,حمام السمرة,hero,,,,,,,,,,,,,,,,,,,pending,,,
,site-3ded44be126d,hmm-lsmr-3ded44,حمام السمرة,gallery,,,,,,,,,,,,,,,,,,,pending,,,
,site-3ded44be126d,hmm-lsmr-3ded44,حمام السمرة,map,,,,,,,,,,,,,,,,,,,pending,,,
,site-3ded44be126d,hmm-lsmr-3ded44,حمام السمرة,document_thumbnail,,,,,,,,,,,,,,,,,,,pending,,,
,site-5e98cf44d976,ql-brqwq-5e98cf,قلعة برقوق,hero,,,,,,,,,,,,,,,,,,,pending,,,
,site-5e98cf44d976,ql-brqwq-5e98cf,قلعة برقوق,gallery,,,,,,,,,,,,,,,,,,,pending,,,
,site-5e98cf44d976,ql-brqwq-5e98cf,قلعة برقوق,map,,,,,,,,,,,,,,,,,,,pending,,,
,site-5e98cf44d976,ql-brqwq-5e98cf,قلعة برقوق,document_thumbnail,,,,,,,,,,,,,,,,,,,pending,,,
,site-e1e3de7b8519,knys-lqdys-brfyryws-e1e3de,كنيسة القديس برفيريوس,hero,,,,,,,,,,,,,,,,,,,pending,,,
,site-e1e3de7b8519,knys-lqdys-brfyryws-e1e3de,كنيسة القديس برفيريوس,gallery,,,,,,,,,,,,,,,,,,,pending,,,
,site-e1e3de7b8519,knys-lqdys-brfyryws-e1e3de,كنيسة القديس برفيريوس,map,,,,,,,,,,,,,,,,,,,pending,,,
